task_id,crop_name,stage,day_from_sowing_start,day_from_sowing_end,task_category,task,description,frequency,priority
23,Potato,Harvest & Post-Harvest,86,90,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
24,Fennel,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
25,Fennel,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
26,Fennel,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
27,Fennel,Sowing,0,4,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
28,Fennel,Sowing,0,4,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
29,Fennel,Sowing,0,4,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
30,Fennel,Germination & Establishment,4,22,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
31,Fennel,Germination & Establishment,4,22,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
32,Fennel,Germination & Establishment,4,22,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
33,Fennel,Vegetative Growth,22,68,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
34,Fennel,Vegetative Growth,22,68,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
35,Fennel,Vegetative Growth,22,68,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
36,Fennel,Vegetative Growth,22,68,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
37,Fennel,Flowering / Reproductive,68,105,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
38,Fennel,Flowering / Reproductive,68,105,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
39,Fennel,Flowering / Reproductive,68,105,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
40,Fennel,Flowering / Reproductive,68,105,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
41,Fennel,Maturity & Pre-Harvest,105,142,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
42,Fennel,Maturity & Pre-Harvest,105,142,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
43,Fennel,Maturity & Pre-Harvest,105,142,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
44,Fennel,Harvest & Post-Harvest,142,150,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
45,Fennel,Harvest & Post-Harvest,142,150,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
46,Fennel,Harvest & Post-Harvest,142,150,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
47,ChickPea,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
48,ChickPea,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
49,ChickPea,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
50,ChickPea,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
51,ChickPea,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
52,ChickPea,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
53,ChickPea,Germination & Establishment,3,15,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
54,ChickPea,Germination & Establishment,3,15,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
55,ChickPea,Germination & Establishment,3,15,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
56,ChickPea,Vegetative Growth,15,45,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
57,ChickPea,Vegetative Growth,15,45,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
58,ChickPea,Vegetative Growth,15,45,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
59,ChickPea,Vegetative Growth,15,45,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
60,ChickPea,Flowering / Reproductive,45,70,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
61,ChickPea,Flowering / Reproductive,45,70,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
62,ChickPea,Flowering / Reproductive,45,70,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
63,ChickPea,Flowering / Reproductive,45,70,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
64,ChickPea,Maturity & Pre-Harvest,70,95,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
65,ChickPea,Maturity & Pre-Harvest,70,95,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
66,ChickPea,Maturity & Pre-Harvest,70,95,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
67,ChickPea,Harvest & Post-Harvest,95,100,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
68,ChickPea,Harvest & Post-Harvest,95,100,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
69,ChickPea,Harvest & Post-Harvest,95,100,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
70,Tomato,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
71,Tomato,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
72,Tomato,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
73,Tomato,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
74,Tomato,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
75,Tomato,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
76,Tomato,Germination & Establishment,3,16,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
77,Tomato,Germination & Establishment,3,16,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
78,Tomato,Germination & Establishment,3,16,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
79,Tomato,Vegetative Growth,16,50,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
80,Tomato,Vegetative Growth,16,50,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
81,Tomato,Vegetative Growth,16,50,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
82,Tomato,Vegetative Growth,16,50,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
83,Tomato,Flowering / Reproductive,50,77,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
84,Tomato,Flowering / Reproductive,50,77,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
85,Tomato,Flowering / Reproductive,50,77,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
86,Tomato,Flowering / Reproductive,50,77,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
87,Tomato,Maturity & Pre-Harvest,77,104,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
88,Tomato,Maturity & Pre-Harvest,77,104,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
89,Tomato,Maturity & Pre-Harvest,77,104,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
90,Tomato,Harvest & Post-Harvest,104,110,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
91,Tomato,Harvest & Post-Harvest,104,110,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
92,Tomato,Harvest & Post-Harvest,104,110,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
93,Banana,Land Preparation,-30,0,Land Prep,Pit/field preparation,Dig pits or prepare beds with FYM incorporation.,One-time,Medium
94,Banana,Land Preparation,-30,0,Land Prep,Layout & spacing,Mark planting layout per recommended spacing.,One-time,Medium
95,Banana,Planting/Establishment,0,30,Sowing,Transplanting/Planting,Plant healthy seedlings/suckers/setts at correct depth.,One-time,Medium
96,Banana,Planting/Establishment,0,30,Irrigation,Establishment irrigation,Irrigate immediately after planting and at frequent intervals.,Every 3-5 days,High
97,Banana,Planting/Establishment,0,30,Monitoring,Gap filling,Replace dead/weak plants within first month.,One-time,Medium
98,Banana,Vegetative Growth,30,150,Fertilizer,Basal + split fertilizer,Apply NPK in split doses as per crop stage.,Monthly,High
99,Banana,Vegetative Growth,30,150,Irrigation,Regular irrigation,Maintain consistent moisture as per crop water requirement.,Weekly,High
100,Banana,Vegetative Growth,30,150,Weeding,Weed control,Remove weeds/mulch to conserve moisture and reduce competition.,Monthly,Medium
101,Banana,Vegetative Growth,30,150,Pest Scouting,Routine pest scouting,"Check for borers, mites, and sucking pests.",Weekly,High
102,Banana,Flowering/Fruiting,150,250,Fertilizer,Flowering-stage nutrition,Apply K-rich fertilizer to support flowering/fruit set.,Monthly,High
103,Banana,Flowering/Fruiting,150,250,Irrigation,Critical stage irrigation,Avoid moisture stress during flowering/fruit development.,Weekly,High
104,Banana,Flowering/Fruiting,150,250,Disease Scouting,Fungal/bacterial disease check,"Inspect for wilt/leaf spot/anthracnose, especially in humid weather.",Weekly,Medium
105,Banana,Maturity & Harvest,250,330,Monitoring,Maturity indicators,Check color/size/firmness for harvest readiness.,Weekly,Medium
106,Banana,Maturity & Harvest,250,330,Harvest,Harvesting,Harvest in stages as produce matures.,As needed,Medium
107,Banana,Maturity & Harvest,250,330,Post-Harvest,Grading & storage,"Grade, pack and store/transport produce promptly.",One-time,Medium
108,Barley,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
109,Barley,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
110,Barley,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
111,Barley,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
112,Barley,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
113,Barley,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
114,Barley,Germination & Establishment,3,17,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
115,Barley,Germination & Establishment,3,17,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
116,Barley,Germination & Establishment,3,17,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
117,Barley,Vegetative Growth,17,52,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
118,Barley,Vegetative Growth,17,52,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
119,Barley,Vegetative Growth,17,52,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
120,Barley,Vegetative Growth,17,52,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
121,Barley,Flowering / Reproductive,52,80,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
122,Barley,Flowering / Reproductive,52,80,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
123,Barley,Flowering / Reproductive,52,80,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
124,Barley,Flowering / Reproductive,52,80,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
125,Barley,Maturity & Pre-Harvest,80,109,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
126,Barley,Maturity & Pre-Harvest,80,109,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
127,Barley,Maturity & Pre-Harvest,80,109,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
128,Barley,Harvest & Post-Harvest,109,115,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
129,Barley,Harvest & Post-Harvest,109,115,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
130,Barley,Harvest & Post-Harvest,109,115,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
131,Maize,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
132,Maize,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
133,Maize,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
134,Maize,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
135,Maize,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
136,Maize,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
137,Maize,Germination & Establishment,3,15,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
138,Maize,Germination & Establishment,3,15,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
139,Maize,Germination & Establishment,3,15,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
140,Maize,Vegetative Growth,15,45,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
141,Maize,Vegetative Growth,15,45,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
142,Maize,Vegetative Growth,15,45,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
143,Maize,Vegetative Growth,15,45,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
144,Maize,Flowering / Reproductive,45,70,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
145,Maize,Flowering / Reproductive,45,70,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
146,Maize,Flowering / Reproductive,45,70,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
147,Maize,Flowering / Reproductive,45,70,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
148,Maize,Maturity & Pre-Harvest,70,95,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
149,Maize,Maturity & Pre-Harvest,70,95,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
150,Maize,Maturity & Pre-Harvest,70,95,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
151,Maize,Harvest & Post-Harvest,95,100,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
152,Maize,Harvest & Post-Harvest,95,100,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
153,Maize,Harvest & Post-Harvest,95,100,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
154,Mustard,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
155,Mustard,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
156,Mustard,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
157,Mustard,Sowing,0,4,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
158,Mustard,Sowing,0,4,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
159,Mustard,Sowing,0,4,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
160,Mustard,Germination & Establishment,4,18,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
161,Mustard,Germination & Establishment,4,18,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
162,Mustard,Germination & Establishment,4,18,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
163,Mustard,Vegetative Growth,18,54,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
164,Mustard,Vegetative Growth,18,54,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
165,Mustard,Vegetative Growth,18,54,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
166,Mustard,Vegetative Growth,18,54,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
167,Mustard,Flowering / Reproductive,54,84,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
168,Mustard,Flowering / Reproductive,54,84,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
169,Mustard,Flowering / Reproductive,54,84,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
170,Mustard,Flowering / Reproductive,54,84,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
171,Mustard,Maturity & Pre-Harvest,84,114,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
172,Mustard,Maturity & Pre-Harvest,84,114,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
173,Mustard,Maturity & Pre-Harvest,84,114,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
174,Mustard,Harvest & Post-Harvest,114,120,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
175,Mustard,Harvest & Post-Harvest,114,120,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
176,Mustard,Harvest & Post-Harvest,114,120,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
177,Guar,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
178,Guar,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
179,Guar,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
180,Guar,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
181,Guar,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
182,Guar,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
183,Guar,Germination & Establishment,3,14,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
184,Guar,Germination & Establishment,3,14,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
185,Guar,Germination & Establishment,3,14,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
186,Guar,Vegetative Growth,14,40,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
187,Guar,Vegetative Growth,14,40,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
188,Guar,Vegetative Growth,14,40,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
189,Guar,Vegetative Growth,14,40,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
190,Guar,Flowering / Reproductive,40,63,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
191,Guar,Flowering / Reproductive,40,63,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
192,Guar,Flowering / Reproductive,40,63,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
193,Guar,Flowering / Reproductive,40,63,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
194,Guar,Maturity & Pre-Harvest,63,86,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
195,Guar,Maturity & Pre-Harvest,63,86,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
196,Guar,Maturity & Pre-Harvest,63,86,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
197,Guar,Harvest & Post-Harvest,86,90,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
198,Guar,Harvest & Post-Harvest,86,90,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
199,Guar,Harvest & Post-Harvest,86,90,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
200,Castor,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
201,Castor,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
202,Castor,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
203,Castor,Sowing,0,4,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
204,Castor,Sowing,0,4,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
205,Castor,Sowing,0,4,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
206,Castor,Germination & Establishment,4,22,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
