region_id,crop_name,state,major_districts,regional_variety
48,Cotton,Maharashtra,"Yavatmal, Jalgaon",Bt hybrids
49,Cotton,Telangana,"Adilabad, Warangal",Bt hybrids
50,Cotton,Punjab,"Bathinda, Muktsar",Bt hybrids
51,Groundnut,Gujarat,"Junagadh, Rajkot, Amreli",GG-20
52,Groundnut,Andhra Pradesh,"Anantapur, Kurnool",K-6
53,Groundnut,Tamil Nadu,"Villupuram, Cuddalore",TMV-7
54,Groundnut,Rajasthan,"Bikaner, Sri Ganganagar",HNG-10
55,Chilli,Andhra Pradesh,"Guntur, Khammam",Guntur Sannam
56,Chilli,Karnataka,"Byadagi, Haveri",Byadagi
57,Chilli,Telangana,"Warangal, Khammam",local hybrids
58,Chilli,Gujarat,"Kheda, Anand",GVC-101
59,Wheat,Uttar Pradesh,"Meerut, Aligarh, Kanpur",HD-2967
60,Wheat,Punjab,"Ludhiana, Patiala",PBW-725
61,Wheat,Madhya Pradesh,"Hoshangabad, Indore",GW-322
62,Wheat,Gujarat,"Anand, Kheda",GW-496
63,Sugarcane,Uttar Pradesh,"Muzaffarnagar, Meerut",CoS-8436
64,Sugarcane,Maharashtra,"Kolhapur, Pune",Co-86032
65,Sugarcane,Karnataka,"Belagavi, Mandya",Co-86032
66,Sugarcane,Gujarat,"Surat, Bharuch",CoN-05071
67,MungBean,Rajasthan,"Merta, Nagaur",RMG-268
68,MungBean,Madhya Pradesh,Narsinghpur,K-851
69,MungBean,Maharashtra,"Akola, Amravati",BM-4
70,MungBean,Gujarat,"Rajkot, Junagadh",GM-4
71,Turmeric,Telangana,Nizamabad,Duggirala
72,Turmeric,Andhra Pradesh,East Godavari,Kesari
73,Turmeric,Tamil Nadu,Erode,Salem
74,Turmeric,Gujarat,"Surat, Valsad",Salem
75,Bajra,Rajasthan,"Jodhpur, Nagaur, Barmer",HHB-67
76,Bajra,Gujarat,"Banaskantha, Mehsana",GHB-538
77,Bajra,Haryana,"Bhiwani, Mahendragarh",HHB-197
78,Bajra,Uttar Pradesh,"Agra, Mathura",local hybrids
79,Soybean,Madhya Pradesh,"Indore, Dewas, Ujjain",JS-335
80,Soybean,Maharashtra,"Latur, Amravati",JS-9560
81,Soybean,Rajasthan,"Kota, Baran",JS-335
82,Onion,Maharashtra,"Nashik, Pune, Ahmednagar",Bhima Super
83,Onion,Karnataka,"Bagalkot, Gadag",Bellary Red
84,Onion,Gujarat,"Bhavnagar, Mahesana",Bhima Super
85,Onion,Madhya Pradesh,"Mandsaur, Ratlam",N-53
86,UradBean,Madhya Pradesh,"Vidisha, Raisen",T-9
87,UradBean,Maharashtra,"Akola, Buldhana",TAU-1
88,UradBean,Uttar Pradesh,"Kanpur, Jalaun",Pant U-31
89,UradBean,Gujarat,"Vadodara, Anand",GU-1
90,Rice,West Bengal,"Bardhaman, Hooghly",IR-36
91,Rice,Punjab,"Amritsar, Patiala",PR-126
92,Rice,Uttar Pradesh,"Gorakhpur, Basti",Sarju-52
93,Rice,Gujarat,"Kheda, Anand",GR-11
94,Pigeonpea,Maharashtra,"Latur, Akola, Solapur",BSMR-736
95,Pigeonpea,Karnataka,"Gulbarga, Bidar",TS-3R
96,Pigeonpea,Madhya Pradesh,"Narsinghpur, Chhindwara",local
97,Pigeonpea,Gujarat,"Vadodara, Panchmahal",GT-1
